name=RTK_primaries;context=kanji;reversible=False;ordered=True,,,,,,,
meaning,primaries,strokes,hook,index,kanji,kunyo,onyo
,,10,,886,恥,チ,は・ずかしい　　はじ　　は・じらう　　は・じる
,,18,,887,職,ショク,
,,13,,888,聖,セイ,
,,12,,889,敢,カン,
,,17,,890,聴,チョウ,き・く
,,16,,891,懐,カイ,なつ・かしい　　なつ・かしむ　　なつ・く　　なつ・ける　　ふところ
,,14,,892,慢,マン,
,,14,,893,漫,マン,
,,12,,894,買,バイ,か・う
,,13,,895,置,チ,お・く
,,14,,896,罰,バツ　　バチ,
,,14,,897,寧,ネイ,
,,16,,898,濁,ダク,にご・す　　にご・る
,,17,,899,環,カン,
,,15,,900,還,カン,
,,4,,901,夫,フ　　フウr,おっと
,,7,,902,扶,フ,
,,11,,903,渓,ケイ,
,,11,,904,規,キ,
,,12,,905,替,タイ,か・える　　か・わる
,,15,,906,賛,サン,
,,15,,907,潜,セン,もぐ・る　　ひそ・む
,,5,,908,失,シツ,うしな・う
,,13,,909,鉄,テツ,
,,7,,910,迭,テツ,
,,7,,911,臣,シン　　ジン,
,,10,,912,姫,,ひめ
,,15,,913,蔵,ゾウ,くら
,,19,,914,臓,ゾウ,
,,16,,915,賢,ケン,かしこ・い
,,13,,916,腎,ジン,
,,12,,917,堅,ケン,かた・い
,,18,,918,臨,リン,のぞ・む
,,17,,919,覧,ラン,
,,4,,920,巨,キョ,
,,8,,921,拒,キョ,こば・む
,,2,,922,力,リョク　　リキ,ちから
,,nodata,,923,男,ダン　　ナン,おとこ
,,7,,924,労,ロウ,
,,12,,925,募,ボ,つの・る
,,6,,926,劣,レツ,おと・る
,,5,,927,功,コウ　　クr,
,,13,,928,勧,カン,すす・める
,,7,,929,努,ド,つと・める
,,nodata,,930,勃,ボツ,
,,7,,931,励,レイ,はげ・ます　　はげ・む
,,5,,932,加,カ,くわ・える　　くわ・わる
,,12,,933,賀,ガ,
,,9,,934,架,カ,か・かる　　か・ける
,,10,,935,脇,,わき
,,10,,936,脅,キョウ,おど・す　　おど・かす　　おびや・かす
,,8,,937,協,キョウ,
,,6,,938,行,コウ　　ギョウ　　アンr,い・く　　ゆ・く　　おこな・う
,,9,,939,律,リツ 　　リチr,
,,12,,940,復,フク,
,,11,,941,得,トク,う・る　　え・る
,,10,,942,従,ジュウ　　ジュ　　ショウr,したが・う　　したが・える
,,10,,943,徒,ト,
,,9,,944,待,タイ,ま・つ
,,8,,945,往,オウ,
,,8,,946,征,セイ,
,,8,,947,径,ケイ,
,,8,,948,彼,ヒ,かれ　　かのr
,,7,,949,役,ヤク　　エキ,
,,14,,950,徳,トク,
,,15,,951,徹,テツ,
,,14,,952,徴,チョウ,
,,18,,953,懲,チョウ,こ・らす　　こ・らしめる　　こ・りる
,,13,,954,微,ビ,
,,12,,955,街,ガイ　　カイr,まち
,,10,,956,桁,,けた
,,16,,957,衡,コウ,
,,15,,958,稿,コウ,
,,15,,959,稼,カ,かせ・ぐ
,,12,,960,程,テイ,ほど
,,12,,961,税,ゼイ,
,,13,,962,稚,チ,
,,8,,963,和,ワ　　オr,なご・む　　なご・やか　　やわ・らぐ　　やわ・らげる
,,11,,964,移,イ,うつ・す　　うつ・る
,,9,,965,秒,ビョウ,
,,9,,966,秋,シュウ,あき
,,13,,967,愁,シュウ,うれ・い　　うれ・える
,,7,,968,私,シ,わたくし　　わたし
,,10,,969,秩,チツ,
,,10,,970,秘,ヒ,ひ・める
,,10,,971,称,ショウ,
,,7,,972,利,リ,き・く
,,11,,973,梨,,なし
,,18,,974,穫,カク,
,,15,,975,穂,スイ,ほ
,,14,,976,稲,トウ,いね　　いなr
,,9,,977,香,コウ　　キョウr,か　　かお・り　　かお・る
,,8,,978,季,キ,
,,8,,979,委,イ,ゆだ・ねる
,,7,,980,秀,シュウ,ひい・でる
,,9,,981,透,トウ,す・かす　　す・く　　す・ける
,,14,,982,誘,ユウ,さそ・う
,,16,,983,稽,ケイ,
,,14,,984,穀,コク,
,,11,,985,菌,キン,
,,11,,986,萎,イ,な・える
,,6,,987,米,ベイ　　マイ,こめ
,,10,,988,粉,フン,こな　　こ
,,11,,989,粘,ネン,ねば・る
,,11,,990,粒,リュウ,つぶ
,,12,,991,粧,ショウ,
,,8,,992,迷,メイ,まよ・う
,,10,,993,粋,スイ,いき
,,16,,994,謎,,なぞ
,,18,,995,糧,リョウ　　ロウr,かて
,,11,,996,菊,キク,
,,12,,997,奥,オウ,おく
,,13,,998,数,スウ　　スr,かず　　かぞ・える
,,13,,999,楼,ロウ,
,,18,,1000,類,ルイ,たぐ・い
,,14,,1001,漆,シツ,うるし
,,15,,1002,膝,,ひざ
,,14,,1003,様,ヨウ,さま
,,7,,1004,求,キュウ,もと・める
,,11,,1005,球,キュウ,たま
,,11,,1006,救,キュウ,すく・う
,,6,,1007,竹,チク,たけ
,,10,,1008,笑,ショウ,わら・う　　え・む
,,11,,1009,笠,,かさ
,,11,,1010,笹,,ささ
,,nodata,,1011,箋,セン,
,,12,,1012,筋,キン,すじ
,,15,,1013,箱,,はこ
,,12,,1014,筆,ヒツ,ふで
,,12,,1015,筒,トウ,つつ
,,12,,1016,等,トウ,ひと・しい
,,14,,1017,算,サン,
,,12,,1018,答,トウ,こた・え　　こた・える
,,12,,1019,策,サク,
,,19,,1020,簿,ボ,
,,16,,1021,築,チク,きず・く
,,nodata,,1022,篭,ロウ,こ・もる　　かご
,,2,,1023,人,ジン　　ニン,ひと
,,7,,1024,佐,サ,
,,9,,1025,侶,リョ,
,,7,,1026,但,,ただ・し
,,7,,1027,住,ジュウ,す・む　　す・まう
,,7,,1028,位,イ,くらい
,,6,,1029,仲,チュウ,なか
,,7,,1030,体,タイ　　テイ,からだ
,,11,,1031,悠,ユウ,
,,6,,1032,件,ケン,
,,5,,1033,仕,シ　　ジr,つか・える
,,5,,1034,他,タ,ほか
,,6,,1035,伏,フク,ふ・す　　ふ・せる
,,6,,1036,伝,デン,つた・える　　つた・わる　　つた・う
,,4,,1037,仏,ブツ,ほとけ
,,6,,1038,休,キュウ,やす・む　　やす・まる　　やす・める
,,6,,1039,仮,カ　　ケr,かり
,,6,,1040,伎,キ,
,,7,,1041,伯,ハク,
,,9,,1042,俗,ゾク,
,,9,,1043,信,シン,
,,8,,1044,佳,カ,
,,8,,1045,依,イ　　エr,
,,8,,1046,例,レイ,たと・える
,,10,,1047,個,コ,
,,11,,1048,健,ケン,すこ・やか
,,11,,1049,側,ソク,がわ
,,8,,1050,侍,ジ,さむらい
,,11,,1051,停,テイ,
,,10,,1052,値,チ,あたい　　ね
,,10,,1053,倣,ホウ,なら・う
,,nodata,,1054,傲,ゴウ,
,,10,,1055,倒,トウ,たお・す　　たお・れる
,,11,,1056,偵,テイ,
,,13,,1057,僧,ソウ,
,,15,,1058,億,オク,
,,15,,1059,儀,ギ,
,,17,,1060,償,ショウ,つぐな・う
,,5,,1061,仙,セン,
,,13,,1062,催,サイ,もよお・す
,,4,,1063,仁,ジン　　ニr,
,,8,,1064,侮,ブ,あなど・る
,,8,,1065,使,シ,つか・う
,,9,,1066,便,ベン　　ビン,たよ・り
,,10,,1067,倍,バイ,
,,17,,1068,優,ユウ,やさ・しい　　すぐ・れる
,,6,,1069,伐,バツ,
,,11,,1070,宿,シュク,やど　　やど・す　　やど・る
,,13,,1071,傷,ショウ,きず　　いた・む　　いた・める
,,9,,1072,保,ホ,たも・つ
,,15,,1073,褒,ホウ,ほ・める
,,13,,1074,傑,ケツ,
,,5,,1075,付,フ,つ・く　　つ・ける
,,11,,1076,符,フ,
,,8,,1077,府,フ,
,,6,,1078,任,ニン,まか・す　　まか・せる
,,13,,1079,賃,チン,
,,5,,1080,代,ダイ　　タイ,か・える　　か・わる　　しろ　　よ
,,11,,1081,袋,タイ,ふくろ
,,12,,1082,貸,タイ,か・す
,,4,,1083,化,カ　　ケ,ば・かす　　ば・ける
,,7,,1084,花,カ,はな
,,11,,1085,貨,カ,
,,13,,1086,傾,ケイ,かたむ・く　　かたむ・ける
,,7,,1087,何,カ,なに　　なんr
,,20,,1088,荷,カ,に
,,9,,1089,俊,シュン,
,,12,,1090,傍,ボウ,かたわ・ら
,,10,,1091,俺,,おれ
,,3,,1092,久,キュウ　　クr,ひさ・しい
,,10,,1093,畝,,うね
,,5,,1094,囚,シュウ,
,,4,,1095,内,ナイ　　ダイr,うち
,,5,,1096,丙,ヘイ,
,,9,,1097,柄,ヘイ,がら　　え
,,6,,1098,肉,ニク,
,,14,,1099,腐,フ,くさ・る　　くさ・れる　　くさ・らす
,,10,,1100,座,ザ,すわ・る
,,11,,1101,挫,ザ,
,,8,,1102,卒,ソツ,
,,12,,1103,傘,サン,かさ
,,4,,1104,匁,,もんめ
,,5,,1105,以,イ,
,,7,,1106,似,ジ,に・る
,,8,,1107,併,ヘイ,あわ・せる
,,5,,1108,瓦,ガ,かわら
,,11,,1109,瓶,ビン,
,,10,,1110,宮,キュウ　　グウ　　クr,みや
,,12,,1111,営,エイ,いとな・む
,,12,,1112,善,ゼン,よ・い
,,16,,1113,膳,ゼン,
,,6,,1114,年,ネン,とし
,,8,,1115,夜,ヤ,よ　　よる
,,11,,1116,液,エキ,
,,12,,1117,塚,,つか
,,15,,1118,幣,ヘイ,
,,16,,1119,蔽,ヘイ,
,,15,,1120,弊,ヘイ,
,,12,,1121,喚,カン,
,,12,,1122,換,カン,か・える　　か・わる
,,16,,1123,融,ユウ,
,,9,,1124,施,シ　　セ,ほどこ・す
,,11,,1125,旋,セン,
,,11,,1126,遊,ユウ　　ユr,あそ・ぶ
,,10,,1127,旅,リョ,たび
,,4,,1128,勿,モチ,
,,8,,1129,物,ブツ　　モツ,もの
,,8,,1130,易,エキ　　イ,やさ・しい
,,15,,1131,賜,シ,たまわ・る
,,7,,1132,尿,ニョウ,
,,5,,1133,尼,ニ,あま
,,5,,1134,尻,,しり
,,8,,1135,泥,デイ,どろ
,,12,,1136,塀,へい,
,,15,,1137,履,リ,は・く
,,9,,1138,屋,オク,や
,,12,,1139,握,アク,にぎ・る
,,8,,1140,屈,クツ,
,,11,,1141,掘,クツ,ほ・る
,,11,,1142,堀,,ほり
,,8,,1143,居,キョ,い・る
,,11,,1144,据,,す・える　　す・わる
,,14,,1145,裾,,すそ
,,14,,1146,層,ソウ,
,,7,,1147,局,キョク,
,,11,,1148,遅,チ,おそ・い　　おく・れる　　おく・らす
,,14,,1149,漏,ロウ,も・らす　　も・る　　も・れる
,,8,,1150,刷,サツ,す・る
,,4,,1151,尺,シャク,
,,6,,1152,尽,ジン,つ・かす　　つ・くす　　つ・きる
,,7,,1153,沢,タク,さわ
,,11,,1154,訳,ヤク,わけ
,,7,,1155,択,タク,
,,9,,1156,昼,チュウ,ひる
,,4,,1157,戸,コ,と
,,8,,1158,肩,ケン,かた
,,8,,1159,房,ボウ,ふさ
,,10,,1160,扇,セン,おうぎ
,,8,,1161,炉,ロ,
,,7,,1162,戻,レイ,もど・す　　もど・る
,,10,,1163,涙,ルイ,なみだ
,,12,,1164,雇,コ,やと・う
,,21,,1165,顧,コ,かえり・みる
,,11,,1166,啓,ケイ,
,,5,,1167,示,ジ　　シ,しめ・す
,,5,,1168,礼,レイ　　ライ,
,,10,,1169,祥,ショウ,
,,9,,1170,祝,シュク　　シュウr,いわ・う
,,13,,1171,福,フク,
,,8,,1172,祉,シ,
,,7,,1173,社,シャ,やしろ
,,11,,1174,視,シ,
,,8,,1175,奈,ナ,
,,11,,1176,尉,イ,
,,15,,1177,慰,イ,なぐさ・む　　なぐさ・める
,,12,,1178,款,カン,
,,13,,1179,禁,キン,
,,18,,1180,襟,キン,えり
,,8,,1181,宗,シュウ　　ソウ,
,,11,,1182,崇,スウ,
,,11,,1183,祭,サイ,まつ・り　　まつ・る
,,14,,1184,察,サツ,
,,17,,1185,擦,サツ,す・る　　す・れる
,,5,,1186,由,ユ　　ユウ　 ユイr,よし
,,8,,1187,抽,チュウ,
,,8,,1188,油,ユ,あぶら
,,10,,1189,袖,シュウ,そで
,,8,,1190,宙,チュウ,
,,8,,1191,届,,とど・く　　とど・ける
,,11,,1192,笛,テキ,ふえ
,,12,,1193,軸,ジク,
,,5,,1194,甲,コウ　　カン,
,,8,,1195,押,オウ,お・す　　お・さえる
,,8,,1196,岬,,みさき
,,10,,1197,挿,ソウ,さ・す
,,5,,1198,申,シン,もう・す
,,7,,1199,伸,シン,の・ばす　　の・びる　　の・べる
,,9,,1200,神,シン　　ジン,かみ　　かん　　こうr
,,10,,1201,捜,ソウ,さが・す
,,8,,1202,果,カ,は・たす　　は・て　　は・てる
,,nodata,,1203,菓,カ,
,,15,,1204,課,カ,
,,13,,1205,裸,ラ,はだか
,,4,,1206,斤,キン,
,,8,,1207,析,セキ,
,,8,,1208,所,ショ,ところ
,,8,,1209,祈,キ,いの・る
,,6,,1210,近,キン,ちか・い
,,7,,1211,折,セツ,お・る　　お・れる　　おり
,,10,,1212,哲,テツ,
,,9,,1213,逝,セイ,ゆ・く　　い・く
,,14,,1214,誓,セイ,ちか・う
,,11,,1215,斬,ザン,
,,15,,1216,暫,ザン,き・る
,,14,,1217,漸,ゼン,
,,11,,1218,断,ダン,ことわ・る　　た・つ
,,15,,1219,質,シツ　　シチ　　チr,
,,5,,1220,斥,セキ,
,,12,,1221,訴,ソ,うった・える
,,9,,1222,昨,サク,
,,12,,1223,詐,サ,
,,7,,1224,作,サク　　サ,つく・る
,,11,,1225,雪,セツ,ゆき
,,16,,1226,録,ロク,
,,10,,1227,剥,ハク,は・がす　　は・ぐ　　は・げる　　は・がれる
,,12,,1228,尋,ジン,たず・ねる
,,9,,1229,急,キュウ,いそ・ぐ
,,16,,1230,穏,オン,おだ・やか
,,9,,1231,侵,シン,おか・す
,,10,,1232,浸,シン,ひた・す　　ひた・る
,,13,,1233,寝,シン,ね・る　　ね・かす
,,11,,1234,婦,フ,
,,11,,1235,掃,ソウ,は・く
,,6,,1236,当,トウ,あ・たる　　あ・てる
,,13,,1237,彙,イ,
,,6,,1238,争,ソウ,あらそ・う
,,9,,1239,浄,ジョウ,
,,8,,1240,事,ジ　　ズr,こと
,,10,,1241,唐,トウ,から
,,16,,1242,糖,トウ,
,,11,,1243,康,コウ,
,,10,,1244,逮,タイ,
,,6,,1245,伊,イ,
,,7,,1246,君,クン,きみ
,,13,,1247,群,グン,む・れ　　む・れる　　むらr
,,9,,1248,耐,タイ,た・える
,,14,,1249,需,ジュ,
,,16,,1250,儒,ジュ,
,,14,,1251,端,タン,はし　　は　　はた
,,6,,1252,両,リョウ,
,,12,,1253,満,マン,み・たす　　み・ちる
,,nodata,,1254,画,ガ　　カク,
,,12,,1255,歯,シ,は
,,6,,1256,曲,キョク,ま・げる　　ま・がる
,,11,,1257,曹,ソウ,
,,13,,1258,遭,ソウ,あ・う
,,14,,1259,漕,ソウ,こ・ぐ
,,15,,1260,槽,ソウ,
,,4,,1261,斗,ト,
,,10,,1262,料,リョウ,
,,9,,1263,科,カ,
,,7,,1264,図,ズ　　ト,はか・る
,,5,,1265,用,ヨウ,もち・いる
,,11,,1266,庸,ヨウ,
,,12,,1267,備,ビ,そな・える　　さな・わる
,,8,,1268,昔,セキ　　シャクr,むかし
,,16,,1269,錯,サク,
,,10,,1270,借,シャク,か・りる
,,11,,1271,惜,セキ,お・しむ　　お・しい
,,11,,1272,措,ソ,
,,12,,1273,散,サン,ち・る　　ち・らす　　ち・らかす　　ち・らかる
,,4,,1274,廿,,にじゅう
,,11,,1275,庶,ショ,
,,13,,1276,遮,シャ,さえぎ・る
,,10,,1277,席,セキ,
,,9,,1278,度,ド　　ト　　タクr,たび
,,12,,1279,渡,ト,わた・す　　わた・る
,,8,,1280,奔,ホン,
,,15,,1281,噴,フン,ふ・く
,,15,,1282,墳,フン,
,,15,,1283,憤,フン,いきどお・る
,,12,,1284,焼,ショウ,や・く　　や・ける
,,12,,1285,暁,ギョウ,あかつき
,,5,,1286,半,ハン,なか・ば
,,7,,1287,伴,ハン　　バン,ともな・う
,,10,,1288,畔,ハン,
,,7,,1289,判,ハン　　バン,
,,10,,1290,拳,ケン,こぶし
,,8,,1291,券,ケン,
,,9,,1292,巻,カン,まき　　ま・く
,,12,,1293,圏,ケン,
,,12,,1294,勝,ショウ,か・つ　　まさ・る
,,18,,1295,藤,トウ,ふじ
,,17,,1296,謄,トウ,
,,4,,1297,片,ヘン,かた
,,8,,1298,版,ハン,
,,3,,1299,之,,の
,,3,,1300,乏,ボウ,とぼ・しい
,,6,,1301,芝,,しば
,,4,,1302,不,フ　　ブ,
,,7,,1303,否,ヒ,いな
,,8,,1304,杯,ハイ,さかずき
,,5,,1305,矢,シ,や
,,17,,1306,矯,キョウ,た・める
,,11,,1307,族,ゾク,
,,8,,1308,知,チ,し・る
,,12,,1309,智,チ,
,,10,,1310,挨,アイ,
,,5,,1311,矛,ム,ほこ
,,9,,1312,柔,ジュウ　　ニュウ,やわ・らか　　やわ・らかい
,,11,,1313,務,ム,つと・める　　つと・まる
,,19,,1314,霧,ム,きり
,,10,,1315,班,ハン,
,,10,,1316,帰,キ,かえ・る　　かえ・す
,,3,,1317,弓,キュウ,ゆみ
,,4,,1318,引,イン,ひ・く　　ひ・ける
,,4,,1319,弔,チョウ,とむら・う
,,5,,1320,弘,コウ,ひろ
,,11,,1321,強,キョウ　　ゴウ,つよ・い　　つよ・まる　　つよ・める　　し・いる
,,8,,1322,弥,,や
,,10,,1323,弱,ジャク,よわ・い　　よわ・まる　　よわ・める　　よわ・る
,,13,,1324,溺,デキ,おぼ・れる
,,8,,1325,沸,フツ,わ・く　　わ・かす
,,12,,1326,費,ヒ,つい・やす　　つい・える
,,11,,1327,第,ダイ,
,,7,,1328,弟,テイ　　ダイ　　デr,おとうと
,,5,,1329,巧,コウ,たく・み
,,5,,1330,号,ゴウ,
,,6,,1331,朽,キュウ,く・ちる
,,13,,1332,誇,コ,ほこ・る
,,18,,1333,顎,ガク,あご
,,6,,1334,汚,オ,きたな・い　　けが・す　　けが・らわしい　　けが・れる　　よご・す　　よご・れる
,,3,,1335,与,ヨ,あた・える
,,5,,1336,写,シャ,うつ・す　　うつ・る
,,7,,1337,身,シン,み
,,10,,1338,射,シャ,い・る
,,17,,1339,謝,シャ,あやま・る
,,6,,1340,老,ロウ,お・いる　　ふ・ける
,,6,,1341,考,コウ,かんが・える
,,7,,1342,孝,コウ,
,,11,,1343,教,キョウ,おし・える　　おそ・わる
,,9,,1344,拷,ゴウ,
,,8,,1345,者,シャ,もの
,,12,,1346,煮,シャ,に・る　　に・える　　に・やす
,,11,,1347,著,チョ,いちじる・しい　　あらわ・す
,,15,,1348,箸,,はし
,,13,,1349,署,ショ,
,,12,,1350,暑,ショ,あつ・い
,,15,,1351,諸,ショ,
,,11,,1352,猪,チョ,いのしし
,,11,,1353,渚,,なぎさ
,,15,,1354,賭,ト,か・ける
,,9,,1355,峡,キョウ,
,,9,,1356,狭,キョウ,せま・い　　せば・まる　　せば・める
,,9,,1357,挟,キョウ,はさ・まる　　はさ・む
,,15,,1358,頬,,ほお
,,8,,1359,追,ツイ,お・う
,,8,,1360,阜,フr,
,,10,,1361,師,シ,
,,9,,1362,帥,スイ,
,,8,,1363,官,カン,
,,12,,1364,棺,カン,
,,14,,1365,管,カン,くだ
,,4,,1366,父,フ,ちち
,,10,,1367,釜,,かま
,,6,,1368,交,コウ,ま・ざる　　ま・ぜる　　ま・じる　　まじ・える　　まじ・わる　　か・う　　か・わす
,,8,,1369,効,コウ,き・く
,,13,,1370,較,カク,
,,10,,1371,校,コウ,
,,7,,1372,足,ソク,あし　　た・す　　た・りる　　た・る
,,9,,1373,促,ソク,うなが・す
,,10,,1374,捉,ソク,とら・える
,,12,,1375,距,キョ,
,,13,,1376,路,ロ,じ
,,21,,1377,露,ロ　　ロウr,つゆ
,,13,,1378,跳,チョウ,は・ねる　　と・ぶ
,,21,,1379,躍,ヤク,おど・る
,,13,,1380,践,セン,
,,15,,1381,踏,トウ,ふ・む　　ふ・まえる
,,nodata,,1382,踪,ソウ,
,,10,,1383,骨,コツ,ほね
,,13,,1384,滑,カツ　　コツ,すべ・る　　なめ・らか
,,19,,1385,髄,ズイ,
,,13,,1386,禍,カ,
,,12,,1387,渦,カ,うず
,,17,,1388,鍋,,なべ
,,11,,1389,過,カ,す・ぎる　　す・ごす　　あやま・ち　　あやま・つ
,,7,,1390,阪,ハン,
,,8,,1391,阿,ア,
,,14,,1392,際,サイ,きわ
,,14,,1393,障,ショウ,さわ・る
,,13,,1394,隙,ゲキ,すき
,,12,,1395,随,ズイ,
,,11,,1396,陪,バイ,
,,12,,1397,陽,ヨウ,
,,11,,1398,陳,チン,
,,7,,1399,防,ボウ,ふせ・ぐ
,,8,,1400,附,フ,
,,10,,1401,院,イン,
,,10,,1402,陣,ジン,
,,12,,1403,隊,タイ,
,,14,,1404,墜,ツイ,
,,10,,1405,降,コウ,ふ・る　　お・りる　　お・ろす
,,12,,1406,階,カイ,
,,10,,1407,陛,ヘイ,
,,16,,1408,隣,リン,となり　　とな・る
,,13,,1409,隔,カク,へだ・たる　　へだ・てる
,,14,,1410,隠,イン,かく・す　　かく・れる
,,11,,1411,堕,ダ,
,,10,,1412,陥,カン,おちい・る　　おとしい・れる
,,5,,1413,穴,ケツ,あな
,,8,,1414,空,クウ,そら　　から　　あ・く　　あ・ける
,,11,,1415,控,コウ,ひか・える
,,8,,1416,突,トツ,つ・く
,,7,,1417,究,キュウ,きわ・める
,,11,,1418,窒,チツ,
,,9,,1419,窃,セツ,
,,13,,1420,窟,クツ,
,,14,,1421,窪,,くぼ
,,13,,1422,搾,サク,しぼ・る
,,15,,1423,窯,ヨウ,かま
,,15,,1424,窮,キュウ,きわ・める　　きわ・まる
,,11,,1425,探,タン,さが・す　　さぐ・る
,,11,,1426,深,シン,ふか・い　　ふか・まる　　ふか・める
,,5,,1427,丘,キュウ,おか
,,8,,1428,岳,ガク,たけ
,,7,,1429,兵,ヘイ　　ヒョウ,
,,10,,1430,浜,ヒン,はま
,,6,,1431,糸,シ,いと
,,18,,1432,織,ショク　　シキ,お・る
,,18,,1433,繕,ゼン,つくろ・う
,,17,,1434,縮,シュク,ちぢ・まる　　ちぢ・む　　ちぢ・める　　ちぢ・らす　　ちぢ・れる
,,16,,1435,繁,ハン,
,,16,,1436,縦,ジュウ,たて
,,nodata,,1437,緻,チ,
,,15,,1438,線,セン,
,,14,,1439,綻,タン,ほころ・びる
,,15,,1440,締,テイ,し・まる　　し・める
,,14,,1441,維,イ,
,,19,,1442,羅,ラ,
,,14,,1443,練,レン,ね・る
,,14,,1444,緒,ショ　　チョr,お
,,13,,1445,続,ゾク,つづ・く　　つづ・ける
,,12,,1446,絵,カイ　　エ,
,,12,,1447,統,トウ,す・べる
,,12,,1448,絞,コウ,し・まる　　し・める　　しぼ・る
,,12,,1449,給,キュウ,
,,12,,1450,絡,ラク,から・まる　　から・む　　から・める
,,12,,1451,結,ケツ,むす・ぶ　　ゆ・う　　ゆ・わえる
,,11,,1452,終,シュウ,お・える　　お・わる
,,9,,1453,級,キュウ,
,,9,,1454,紀,キ,
,,9,,1455,紅,コウ　　クr,くれない　　べに
,,10,,1456,納,ノウ　　トウ　　ナ　　ナツ　　ナンr,おさ・まる　　おさ・める
,,10,,1457,紡,ボウ,つむ・ぐ
,,10,,1458,紛,フン,まぎ・れる　　まぎ・らす　　まぎ・らわしい　　まぎ・らわす
,,11,,1459,紹,ショウ,
,,11,,1460,経,ケイ　　キョウ,へ・る
,,11,,1461,紳,シン,
,,9,,1462,約,ヤク,
,,11,,1463,細,サイ,ほそ・い　　ほそ・る　　こま・か　　こま・かい
,,11,,1464,累,ルイ,
,,10,,1465,索,サク,
,,14,,1466,総,ソウ,
,,14,,1467,綿,メン,わた
,,13,,1468,絹,ケン,きぬ
,,19,,1469,繰,,く・る
,,13,,1470,継,ケイ,つ・ぐ
,,14,,1471,緑,リョク　　ロクr,みどり
,,15,,1472,縁,エン,ふち
,,14,,1473,網,モウ,あみ
,,15,,1474,緊,キン,
,,12,,1475,紫,シ,むらさき
,,16,,1476,縛,バク,しば・る
,,15,,1477,縄,ジョウ,なわ
,,5,,1478,幼,ヨウ,おさな・い
,,9,,1479,後,ゴ　　コウ,あと　　のち　　うし・ろ　　おく・れる
,,9,,1480,幽,ユウ,
,,12,,1481,幾,キ,いく
,,16,,1482,機,キ,はた
,,15,,1483,畿,キ,
,,5,,1484,玄,ゲン,
,,10,,1485,畜,チク,
,,13,,1486,蓄,チク,たくわ・える
,,8,,1487,弦,ゲン,つる
,,16,,1488,擁,ヨウ,
,,12,,1489,滋,ジ,
,,13,,1490,慈,ジ,いつく・しむ
,,14,,1491,磁,ジ,
,,7,,1492,系,ケイ,
,,9,,1493,係,ケイ,かか・る　　かかり
,,10,,1494,孫,ソン,まご
,,20,,1495,懸,ケン　　ケr,か・ける　　か・かる
,,12,,1496,遜,ソン,
,,7,,1497,却,キャク,
,,11,,1498,脚,キャク　　キャr,あし
,,9,,1499,卸,,おろ・す　　おろし
,,12,,1500,御,ゴ　　ギョ,おん
,,8,,1501,服,フク,
,,8,,1502,命,メイ　　ミョウ,いのち
,,5,,1503,令,レイ,
,,13,,1504,零,レイ,
,,17,,1505,齢,レイ,
,,7,,1506,冷,レイ,ひ・や　　ひ・やす　　ひ・やかす　　ひ・える　　つめ・たい　　さ・ます　　さ・める
,,14,,1507,領,リョウ,
,,13,,1508,鈴,レイ　　リン,すず
,,9,,1509,勇,ユウ,いさ・む
,,12,,1510,湧,ユウ,わ・く
,,9,,1511,通,ツウ　　ツr,とお・す　　とお・る　　かよ・う
,,14,,1512,踊,ヨウ,おど・る　　おど・り
,,14,,1513,疑,ギ,うたが・う
,,17,,1514,擬,ギ,
,,16,,1515,凝,ギョウ,こ・る　　こ・らす
,,15,,1516,範,ハン,
,,5,,1517,犯,ハン,おか・す
,,5,,1518,氾,ハン,
,,4,,1519,厄,ヤク,
,,6,,1520,危,キ,あぶ・ない　　あや・うい　　あや・ぶむ
,,8,,1521,宛,,あ・てる
,,12,,1522,腕,ワン,うで
,,8,,1523,苑,エン,その
,,9,,1524,怨,オン　　エン,
,,9,,1525,柳,リュウ,やなぎ
,,7,,1526,卵,ラン,たまご
,,10,,1527,留,リュウ　　ルr,と・まる　　と・める
,,14,,1528,瑠,ル,
,,12,,1529,貿,ボウ,
,,6,,1530,印,イン,しるし
,,6,,1531,臼,キュウ,うす
,,13,,1532,毀,キ,
,,16,,1533,興,コウ　　キョウ,おこ・す　　おこ・る
,,7,,1534,酉,,とり
,,10,,1535,酒,シュ,さけ　　さかr
,,10,,1536,酌,シャク,く・む
,,10,,1537,酎,チュウ,
,,14,,1538,酵,コウ,
,,14,,1539,酷,コク,
,,13,,1540,酬,シュウ,
,,13,,1541,酪,ラク,
,,12,,1542,酢,サク,す
,,11,,1543,酔,スイ,よ・う
,,10,,1544,配,ハイ,くば・る
,,14,,1545,酸,サン,す・い
,,12,,1546,猶,ユウ,
,,12,,1547,尊,ソン,たっと・い　　たっと・ぶ　　とうと・い　　とうと・ぶ
,,7,,1548,豆,トウ　　ズr,まめ
,,16,,1549,頭,トウ　　ズ　　トr,あたま　　かしら
,,12,,1550,短,タン,みじか・い
,,13,,1551,豊,ホウ,ゆた・か
,,13,,1552,鼓,コ,つづみ
,,12,,1553,喜,キ,よろこ・ぶ
,,16,,1554,樹,ジュ,
,,5,,1555,皿,,さら
,,6,,1556,血,ケツ,ち
,,9,,1557,盆,ボン,
,,13,,1558,盟,メイ,
,,11,,1559,盗,トウ,ぬす・む
,,12,,1560,温,オン,あたた・か　　あたた・かい　　あたた・まる　　あたた・める
,,14,,1561,蓋,ガイ,ふた
,,15,,1562,監,カン,
